,year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target,O3_lag1,O3_lag2,NO2_lag1,NO2_lag2,Spike
25975,2020.0,3.0,21.0,18.0,12.26,83.56,15.36,9.96,-0.3,-2.64,0.84,0.7943949609652238,1.6021887159533075,0.8251493094438223,48.92,35.8,3.58,44.7,71.72,48.3,0
101408,2022.0,6.0,29.0,13.0,56.88,57.84,27.3,9.65,-0.92,0.66,-1.39,0.7943949609652238,1.6021887159533075,0.8251493094438223,26.92,35.73,68.5,71.42,28.05,28.8,0
81171,2021.0,12.0,1.0,7.0,199.29,6.4,30.92,8.66,0.66,-2.95,-2.48,0.7943949609652238,1.6021887159533075,0.8251493094438223,11.25,159.78,34.0,14.55,161.62,171.57,0
101506,2022.0,6.0,30.0,5.0,219.02,38.08,33.9,12.22,-2.39,1.31,-0.8,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.83,9.55,3.52,6.53,19.27,12.82,0
11539,2019.0,11.0,1.0,13.0,30.94,20.07,27.33,5.88,2.25,0.09,1.41,0.7943949609652238,1.6021887159533075,0.8251493094438223,3.4,46.8,7.03,24.3,224.68,52.27,0
89262,2022.0,2.0,23.0,1.0,72.5,39.92,14.97,21.32,1.63,-1.3,-0.62,0.7943949609652238,1.6021887159533075,0.8251493094438223,38.5,23.95,36.12,32.52,44.12,9.25,0
128309,2023.0,3.0,25.0,0.0,87.25,21.68,9.84,8.75,0.96,-2.35,1.47,0.7943949609652238,1.6021887159533075,0.8251493094438223,7.58,5.08,14.85,14.9,5.0,14.1,0
88246,2022.0,2.0,11.0,10.0,178.54,17.43,37.63,11.95,1.91,-2.0,0.17,0.7943949609652238,1.6021887159533075,0.8251493094438223,86.97,34.67,94.32,72.62,15.82,16.85,0
123173,2023.0,1.0,28.0,20.0,39.94,49.53,31.52,8.58,-1.04,-1.7,0.26,0.7943949609652238,1.6021887159533075,0.8251493094438223,2.2,24.88,3.5,3.33,90.33,41.48,0
65152,2021.0,6.0,22.0,22.0,182.58,6.33,21.19,8.77,-0.28,-0.08,-1.82,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.5,24.23,1.3,8.33,28.45,89.9,0
156348,2024.0,1.0,9.0,15.0,9.46,106.11,15.16,18.52,-0.41,1.47,0.5,0.7943949609652238,1.6021887159533075,0.8251493094438223,14.85,24.2,13.1,26.02,47.6,28.08,0
17155,2019.0,12.0,24.0,6.0,35.54,43.84,7.36,9.72,0.16,-1.49,0.85,0.7943949609652238,1.6021887159533075,0.8251493094438223,24.43,35.95,15.15,11.45,34.02,25.68,0
127712,2023.0,3.0,17.0,1.0,22.17,109.41,30.67,8.12,-3.23,1.49,1.51,0.7943949609652238,1.6021887159533075,0.8251493094438223,3.85,36.03,19.03,0.95,35.7,15.85,0
54519,2021.0,3.0,5.0,22.0,172.31,5.12,31.89,8.82,0.73,-2.45,-1.92,0.7943949609652238,1.6021887159533075,0.8251493094438223,14.2,43.22,39.9,22.83,39.48,29.87,0
129422,2023.0,4.0,1.0,19.0,67.98,24.26,28.18,11.32,-1.95,1.91,1.35,0.7943949609652238,1.6021887159533075,0.8251493094438223,1.0,18.15,3.5,8.35,51.5,35.83,0
152349,2023.0,11.0,30.0,6.0,33.45,61.08,30.11,10.5,1.58,0.9,1.02,0.7943949609652238,1.6021887159533075,0.8251493094438223,19.0,38.72,30.0,64.2,50.68,29.35,0
108979,2022.0,8.0,31.0,16.0,18.11,97.12,34.37,13.69,2.04,-1.17,0.19,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.33,33.1,11.65,28.8,57.75,35.08,0
35812,2020.0,7.0,23.0,20.0,16.97,68.84,15.23,9.46,1.84,-1.52,1.93,0.7943949609652238,1.6021887159533075,0.8251493094438223,30.8,23.88,39.65,19.72,32.9,33.17,0
154434,2023.0,12.0,21.0,15.0,30.87,83.99,14.62,10.49,-1.9,1.37,0.42,0.7943949609652238,1.6021887159533075,0.8251493094438223,17.8,143.9,5.25,2.2,60.18,59.45,0
69585,2021.0,8.0,1.0,9.0,165.83,5.48,31.33,6.12,1.75,-0.19,-2.08,0.7943949609652238,1.6021887159533075,0.8251493094438223,6.52,6.1,26.33,36.93,17.05,15.82,0
166537,2024.0,4.0,18.0,14.0,32.9,49.53,25.99,5.68,2.21,-1.51,-1.67,0.7943949609652238,1.6021887159533075,0.8251493094438223,9.85,65.53,5.08,8.15,109.1,59.4,0
62369,2021.0,5.0,24.0,22.0,184.05,17.97,18.75,21.74,0.69,-1.12,-2.66,0.7943949609652238,1.6021887159533075,0.8251493094438223,79.85,12.93,2.8,34.05,6.68,11.02,0
25755,2020.0,3.0,19.0,10.0,15.63,104.58,27.22,6.43,3.25,-2.55,2.29,0.7943949609652238,1.6021887159533075,0.8251493094438223,91.25,19.98,48.97,96.68,9.53,27.12,0
161506,2024.0,2.0,28.0,4.0,29.56,53.79,23.35,11.18,1.92,-1.21,-0.48,0.7943949609652238,1.6021887159533075,0.8251493094438223,63.48,17.02,6.1,43.98,28.65,28.7,0
128434,2023.0,3.0,25.0,18.0,63.5,34.79,10.17,7.06,-1.27,-2.22,4.08,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.23,33.32,0.33,4.17,53.35,50.0,0
158154,2024.0,1.0,26.0,13.0,31.09,43.01,18.62,5.72,1.76,-1.37,-0.6,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.62,30.75,7.52,122.93,47.62,20.75,0
143544,2023.0,9.0,6.0,10.0,0.09,98.51,14.85,6.8,0.55,-0.78,4.25,0.7943949609652238,1.6021887159533075,0.8251493094438223,73.32,10.18,44.8,66.65,13.25,33.02,0
33494,2020.0,6.0,19.0,12.0,13.9,48.18,24.45,7.66,1.44,0.29,2.58,0.7943949609652238,1.6021887159533075,0.8251493094438223,26.9,15.9,85.17,55.35,12.4,18.7,0
116377,2022.0,11.0,23.0,8.0,19.06,95.39,10.61,19.73,-0.03,0.42,3.46,0.61,0.79,0.77,42.55,8.13,73.4,98.17,53.05,22.6,0
133788,2023.0,5.0,10.0,18.0,18.37,94.5,12.14,13.83,-1.43,0.52,-1.55,0.7943949609652238,1.6021887159533075,0.8251493094438223,26.28,31.3,2.25,2.2,75.2,55.1,0
50141,2021.0,1.0,1.0,19.0,161.41,13.0,30.41,13.66,-2.68,-0.78,-1.32,0.7943949609652238,1.6021887159533075,0.8251493094438223,8.57,70.78,4.5,22.68,66.5,87.37,0
140509,2023.0,8.0,6.0,17.0,0.01,119.22,16.66,6.34,-1.78,-1.73,3.29,0.7943949609652238,1.6021887159533075,0.8251493094438223,7.62,24.12,25.25,5.03,6.35,16.4,0
165317,2024.0,4.0,3.0,19.0,31.46,52.13,26.12,19.74,-2.25,1.26,-2.2,0.7943949609652238,1.6021887159533075,0.8251493094438223,13.18,61.65,10.0,3.97,106.0,82.12,0
144426,2023.0,9.0,12.0,16.0,27.76,80.79,25.19,5.91,-1.56,-0.55,3.51,0.7943949609652238,1.6021887159533075,0.8251493094438223,2.4,29.3,5.85,3.88,28.9,36.95,0
116827,2022.0,11.0,27.0,2.0,1.84,107.02,25.87,21.12,1.31,0.52,0.48,0.7943949609652238,1.6021887159533075,0.8251493094438223,1.68,39.23,3.5,1.38,33.4,34.45,0
144846,2023.0,9.0,15.0,7.0,45.77,92.35,30.01,10.7,-0.73,-2.04,-0.1,0.7943949609652238,1.6021887159533075,0.8251493094438223,0.8,14.12,7.78,26.18,10.83,16.05,0
162709,2024.0,3.0,12.0,15.0,45.96,20.58,20.06,6.64,2.22,-0.26,0.18,0.7943949609652238,1.6021887159533075,0.8251493094438223,34.5,29.18,27.85,14.35,10.32,92.08,0
159251,2024.0,2.0,4.0,9.0,64.09,24.03,18.17,5.19,1.73,-3.71,-0.37,0.7943949609652238,1.6021887159533075,0.8251493094438223,5.75,59.38,26.47,20.58,66.42,66.13,0
120541,2022.0,12.0,30.0,8.0,30.87,79.77,30.22,8.26,-3.62,0.73,1.31,0.68,1.22,0.56,24.8,34.05,38.65,23.25,35.6,27.73,0
80064,2021.0,11.0,20.0,0.0,104.45,11.95,26.72,20.26,4.27,0.36,-2.43,0.7943949609652238,1.6021887159533075,0.8251493094438223,2.65,87.65,3.47,5.55,72.18,102.6,0
164394,2024.0,3.0,27.0,9.0,73.82,4.67,15.14,12.88,3.67,2.38,0.15,0.7943949609652238,1.6021887159533075,0.8251493094438223,36.32,12.32,191.63,41.88,30.55,30.45,0
113457,2022.0,10.0,21.0,5.0,15.99,118.85,21.18,7.91,0.87,-0.86,2.74,0.7943949609652238,1.6021887159533075,0.8251493094438223,34.15,37.58,34.8,64.23,30.77,112.8,0
77704,2021.0,10.0,27.0,14.0,142.51,5.87,34.78,6.79,1.09,0.72,-1.27,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.9,54.75,1.92,6.1,53.33,94.15,0
89805,2022.0,3.0,1.0,11.0,121.9,23.79,36.32,9.32,1.68,-1.71,0.31,0.7943949609652238,1.6021887159533075,0.8251493094438223,72.3,5.1,57.38,179.62,14.25,29.35,0
99712,2022.0,6.0,15.0,2.0,63.28,66.57,32.49,6.99,1.82,-1.74,0.38,0.7943949609652238,1.6021887159533075,0.8251493094438223,15.18,6.8,13.03,8.5,8.8,18.3,0
34188,2020.0,6.0,30.0,4.0,37.09,262.42,28.39,13.39,-2.33,1.63,-0.09,0.7943949609652238,1.6021887159533075,0.8251493094438223,38.12,10.22,28.18,34.6,10.78,18.68,0
143327,2023.0,9.0,4.0,23.0,22.9,65.34,21.97,6.09,2.69,-1.37,0.64,0.7943949609652238,1.6021887159533075,0.8251493094438223,23.45,7.1,3.88,2.35,10.5,8.65,0
74057,2021.0,9.0,21.0,6.0,178.13,15.55,24.4,11.07,4.92,-2.82,-0.31,0.7943949609652238,1.6021887159533075,0.8251493094438223,54.4,23.38,49.7,10.45,10.0,14.75,0
111227,2022.0,9.0,24.0,2.0,45.6,69.18,10.4,7.13,-2.36,-0.07,1.52,0.7943949609652238,1.6021887159533075,0.8251493094438223,6.55,10.45,13.62,41.42,13.68,9.07,0
